리스크 지표,Description
달러인덱스,"1973년의 달러 가치를 기준인 100으로 설정한 지표. 미국과 거래를 많이 하는 주요 통화인 유로화, 엔화, 파운드, 캐나다 달러, 스웨덴 크로네, 스위스 프랑과 비교한 달러의 상대적 가치를 가중 평균하여 측정. 일반적으로 달러는 안전 자산으로 간주되어 달러 강세일 경우 위험 자산 회피 및 안전 자산 선호 현상으로 해석."
CVIX,도이치 뱅크의 환율 변동성 지수. VIX가 S&P 500 시장에서의 기대변동성을 측정하는 것처럼 CVIX는 환율 시장의 기대 변동성을 측정한 지표. 9개 주요 통화의 3개월 내재 변동성을 가중 평균하여 계산. CVIX 지수가 높아졌을 경우 환율 변동성이 확대된 것으로 해석 가능.
신흥국 국채 스프레드,EMBI 플러스 스프레드는 신흥시장의 채권 수익률과 미국 국채 수익률 간의 차를 의미. 스프레드가 확대된다는 것은 위험 자산인 신흥국 채권을 투자자가 불안하게 여겨 매수하지 않고 안전자산인 미국 국채의 매력이 상승함을 의미. 즉 두 국채 수익률의 차가 벌어진다는 것은 투자자들이 경제를 불안하게 여긴다는 지표로 해석 가능.
원달러 환율,"원달러 환율이 오를 경우 달러 대비 원화 가치는 절하, 달러 가치는 절상됨을 의미. 원달러 환율의 변동 요인에는 여러 가지가 있으나 신흥국 통화에 속하는 원화 가치에 비해 달러 가치가 상승했다는 것은 안전자산에 대한 선호가 높아졌다고 해석 가능."
VIX,VIX 지수가 높으면 투자심리가 불안하여 앞으로 주식시장의 변동성이 높아질 것이라는 예상이 많다는 뜻. 일반적으로 VIX 지수가 높으면 변동성이 커질 것으로 예상해 투자자들이 주식매수를 기피하기 때문에 하락장으로 이어짐. 단위는 %와 pt를 모두 사용하며 VIX 지수가 10pt인 경우 S&P500 지수 옵션가격에 반영된 기초자산의 내재변동성이 10%임을 의미.
VKOSPI,KOSPI 200 옵션 가격으로 산정한 KOSPI 200의 기대변동성 지표. 해석은 VIX와 동일.
CDS 프리미엄,Credit default Swap(신용부도스왑)은 채권의 신용위험을 전가하고자 하는 매입자가 일정한 수수료를 지급하는 대가로 기초자산의 채무불이행 등의 사건 발생시 매도자로부터 손실액 또는 일정 금액을 보전 받기로 약정하는 거래. 채무불이행에 대비한 보험과 유사. 한국 국채 5년물의 CDS 프리미엄이 상승한다는 것은 해외 투자자들이 곧 한국 경제가 좋지 않을 것으로 예상한다는 의미.
외국인 순매수,60일 누적 외국인 총합계 순매수 대금을 지표로 사용.
DM turbulence 지수,"Turbulence 지수는 시장이 얼마나 정상적인 상황에서 벗어나 있는가를 측정. 금융시장이 비정상이라는 것은 자산들이 과거의 평균과 상관관계로 예상할 수 있는 정상적인 움직임에서 떨어져 있다는 것을 의미. Turbulence 지수는 VIX에 비해 극단적인 가격 변화, 상관도가 낮은 자산의 커플링 등의 움직임을 반영 가능. 지수가 높아지는 시점에 유동성 위기, 위험자산 가격 하락, 투자자들의 위험선호도 급락 등이 발생. 예기치 못한 불안정 국면이 발생할 때 상승하지만 단기간 내에 하락하지 않고 일정 기간 높은 수준을 유지. 평균인 1pt를 상회할 경우 주식 시장의 안정성이 취약하며 1pt를 하회할 시 안정성이 높다고 파악 가능. MSCI World 지수의 비중 상위 10개국 대상으로 측정."
EM Turbulence 지수,"Turbulence 지수는 시장이 얼마나 정상적인 상황에서 벗어나 있는가를 측정. 금융시장이 비정상이라는 것은 자산들이 과거의 평균과 상관관계로 예상할 수 있는 정상적인 움직임에서 떨어져 있다는 것을 의미. Turbulence 지수는 VIX에 비해 극단적인 가격 변화, 상관도가 낮은 자산의 커플링 등의 움직임을 반영 가능. 지수가 높아지는 시점에 유동성 위기, 위험자산 가격 하락, 투자자들의 위험선호도 급락 등이 발생. 예기치 못한 불안정 국면이 발생할 때 상승하지만 단기간 내에 하락하지 않고 일정 기간 높은 수준을 유지. 평균인 1pt를 상회할 경우 주식 시장의 안정성이 취약하며 1pt를 하회할 시 안정성이 높다고 파악 가능. MSCI EM 지수의 비중 상위 10개국 대상으로 측정."
KR Turbulence 지수,"Turbulence 지수는 시장이 얼마나 정상적인 상황에서 벗어나 있는가를 측정. 금융시장이 비정상이라는 것은 자산들이 과거의 평균과 상관관계로 예상할 수 있는 정상적인 움직임에서 떨어져 있다는 것을 의미. Turbulence 지수는 VIX에 비해 극단적인 가격 변화, 상관도가 낮은 자산의 커플링 등의 움직임을 반영 가능. 지수가 높아지는 시점에 유동성 위기, 위험자산 가격 하락, 투자자들의 위험선호도 급락 등이 발생. 예기치 못한 불안정 국면이 발생할 때 상승하지만 단기간 내에 하락하지 않고 일정 기간 높은 수준을 유지. 평균인 1pt를 상회할 경우 주식 시장의 안정성이 취약하며 1pt를 하회할 시 안정성이 높다고 파악 가능. 26개의 KSE 섹터 지수 종가와 시가총액으로 측정."
KR Systemic risk,"시스템 리스크 지표(AR)는 금융시장이 통합되거나 긴밀하게 동조화된 정도를 측정. 시스템 리스크 지표는 주성분분석을 통해 산출하며 Absorption Ratio(AR)라고도 함. 섹터지수와 같이 주식시장을 구성하는 변수를 이용해 주성분분석을 실시할 경우 전체 주식시장이 시스템 리스크 요인에 얼마나 취약한지 직관적으로 파악 가능. 높은 AR은 리스크 요인들이 통합되어 있다는 것을, 낮은 AR은 리스크 요인들이 괴리되어 있다는 것을 의미. "
GRCI,"G7 OECD 경기선행지수, 미 장단기 금리 스프레드, 달러 인덱스, CVIX, 신흥국채 스프레드, VIX, 선진 및 신흥 turbulence 지수 등을 리스크 요인으로 과거 대비 현재 위치를 측정한 글로벌 리스크 종합지표."
KRCI,"선행지수 순환변동치, 원달러 환율, VKOSPI, CDS프리미엄, 외국인 순매수, 국내 turbulence 지수, 시스템 리스크 지표 등을 리스크 요인으로 과거 대비 현재 위치를 측정한 국내 리스크 종합지표."
